date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:33	15790/15790	---M--	200	added ('OK')	application/javascript	etag:%22be9f58fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Model.js?v=3	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Model30f4.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:34	3137/3137	---M--	200	added ('OK')	application/javascript	etag:%22a65cde8fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Label.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Label.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:35	974/974	---M--	200	added ('OK')	application/javascript	etag:%22baedfe8fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/PageUI.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/PageUI.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:35	12275/12275	---M--	200	added ('OK')	application/javascript	etag:%22e188c78fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Edge.js?v=2	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Edge5e1f.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:36	3774/3774	---M--	200	added ('OK')	application/javascript	etag:%2211f9f90bf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Toolbar.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Toolbar.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:37	3969/3969	---M--	200	added ('OK')	application/javascript	etag:%22b794290bf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/PlayControls.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/PlayControls.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:37	13883/13883	---M--	200	added ('OK')	application/javascript	etag:%224e68b90bf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Sidebar.js?v=2	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Sidebar5e1f.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:38	5492/5492	---M--	200	added ('OK')	application/javascript	etag:%228414f18fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Modal.js?v=4	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Modal7b30.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:39	4100/4100	---M--	200	added ('OK')	application/javascript	etag:%22f4bac38fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Dragger.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Dragger.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:39	9349/9349	---M--	200	added ('OK')	application/javascript	etag:%229683d78fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Ink.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Ink.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:39	1123/1123	---M--	200	added ('OK')	application/javascript	etag:%22efe1ca8fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Eraser.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Eraser.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:39	677/677	---M--	200	added ('OK')	application/javascript	etag:%22983e28fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/Labeller.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/Labeller.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:40	5004/5004	---M--	200	added ('OK')	application/javascript	etag:%22df24cf8fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/FileIO.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/FileIO.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:41	11324/11324	---M--	200	added ('OK')	application/javascript	etag:%22803d48fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/js/helpers.js	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/js/helpers.js	(from http://coco.binghamton.edu/netscidraw/V3.1/index.html)
17:55:52	388431/388431	---M--	200	added ('OK')	image/png	etag:%221e75291bf0d41:0%22	http://coco.binghamton.edu/netscidraw/moreshapes.png	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/moreshapes.png	(from http://coco.binghamton.edu/netscidraw/)
17:55:53	410079/410079	---M--	200	added ('OK')	image/png	etag:%22d941691bf0d41:0%22	http://coco.binghamton.edu/netscidraw/newfeatures.png	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/newfeatures.png	(from http://coco.binghamton.edu/netscidraw/)
17:55:53	1222/1222	---M--	200	added ('OK')	image/png	etag:%22907b618fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/css/cursors/ink.png	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/css/cursors/ink.png	(from http://coco.binghamton.edu/netscidraw/V3.1/css/loopy.css)
17:55:53	1552/1552	---M--	200	added ('OK')	image/png	etag:%22efb15b8fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/css/cursors/drag.png	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/css/cursors/drag.png	(from http://coco.binghamton.edu/netscidraw/V3.1/css/loopy.css)
17:55:54	1416/1416	---M--	200	added ('OK')	image/png	etag:%2218bd5e8fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/css/cursors/erase.png	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/css/cursors/erase.png	(from http://coco.binghamton.edu/netscidraw/V3.1/css/loopy.css)
17:55:54	285/285	---M--	200	added ('OK')	image/png	etag:%227f58648fbf0d41:0%22	http://coco.binghamton.edu/netscidraw/V3.1/css/cursors/label.png	C:/My%20Web%20Sites/NetSciDraw2021/coco.binghamton.edu/netscidraw/V3.1/css/cursors/label.png	(from http://coco.binghamton.edu/netscidraw/V3.1/css/loopy.css)
